FirstName,SecondName,ThirdName,LastName,IndividualAlias
Giorgio Kyrtsos,,,,
Giorgio Jannone,,,,
Giorgio Gori,,,,
Juan Carlos Wasmosy,,,,
Giorgio Galvagno,,,,
Giorgio Conte,,,,
Giorgio Carta,,,,
Giorgio Calò,,,,
Dariga Nazarbayeva,,,,
BRANDOLIN Giorgio,,,,Giorgio Brandolin 
Giorgio Bornacin,,,,
Urmas Kruuse,,,,"Urmass Krūse , Круузе  Урмас , ウルマス・クルーセ "
Elle Kull,,,,
Tamás Fellegi,,,,
Fedele Sanciu,,,,
Hardi Volmer,,,,Харди Волмер 
Alan S. Lowenthal,,,,"앨런 로언솔 , Alan Lowenthal , アラン・ローウェンタール , אלן לוינטל , Lowenthal  Alan , آن لونثال "
Risto Penttilä,,,,
Elena Yoncheva,,,,ELENA NIKOLOVA YONCHEVA 
Fausto Raciti,,,,Fausto Raciti 
Alberto Weretilneck,,,,
Maliina Abelsen,,,,
Pongsapat Pongcharoen,,,,"蓬沙帕 , Pongsapat Pongcharoen "
Alenka Bratušek,,,,"阿伦卡·布拉图舍克 , アレンカ・ブラトゥシェク , Bratušek Alenka , آلینکا براتوشیک , Аленка Братушек , Αλένκα Μπράτουσεκ , ალენკა ბრატუშეკი , ألينكا براتوشيك , אלנקה בראטושק , Аленка Братушэк , آلنکا براتوشک , Аленка Братушак , Alenka Bratušeková , 알렌카 브라투셰크 , Alenka Bratušek , Alenka Bratusek "
Üllar Saaremäe,,,,
Anton Vaino,,,,
Mehmet Müezzinoğlu,,,,"محمد موزن أوغلو , Mehmet Müəzzinoğlu , 穆罕默德·米埃津奧盧 , 穆罕默德·穆辛諾格魯 , 穆罕默德·米埃津奥卢 , Мехмет Мюэззиноглу "
Kim Abbott,,,,
Mary Ann Dunwell,,,,
Karu Jayasuriya,,,,"カル・ジャヤスーリヤ , 卡魯·賈亞蘇里亞 , කරු ජයසූරිය , கரு ஜயசூரிய "
George Kipp III,,,,
Shane Morigeau,,,,
Melchior Wathelet,,,,
Isaías Samakuva,,,,
Jules Chappell,,,,
Baldev Singh Aulakh,,,,
Subhash Kumar Sojatia,,,,
Jan Bury,,,,
Kenneth M. Curtis,,,,
John R. Carter,,,,"John Carter , ジョン・カーター , ג'ון קרטר , 約翰·卡特 , Джон Картер , Carter  John , جون كارتر , Ioannes Carter , جان کارتر "
"Dr. Gurmai, Zita",,,,"Gurmai Zita , Zita Gurmai "
Cristina De Luca,,,,
Cristano De Eccher,,,,
Margarete Schramböck,,,,
Alberto Costa,,,,Alberto Bernardes Costa 
Sozar Subari,,,,
Lana Gogoberidze,,,,
Ojara Okin,,,,Okin Ojara 
Gérardine Mukeshimana,,,,
Asmat Ullah,,,,
Muhammad Jadam Mangrio,,,,
Gubaz Sanikidze,,,,
Mohamed Sheikh,,,,
Alexander Gesmundo,,,,
Ermakova Nadezhda Andreevna,,,,
Marek Biernacki,,,,
Bud Shuster,,,,
Bruno Murgia,,,,Bruno Murgia 
Bruno Mellano,,,,
Khamtai Siphandon,,,,
Jim Bridenstine,,,,"Джеймс Фредерик Брайденстайн , 吉姆·布萊登斯汀 , Джим Брайденстайн , ジム・ブライデンスタイン , ג'ים בריידנסטין , Bridenstine  Jim , جیم بریدنستین "
Muhammad Saeed al-Sahhaf,,,,
Shinya Izumi,,,,
Tim Kaine,,,,"טים קיין , Тім Кейн , Кейн  Тим , टिम केन , 팀 케인 , تيم كين , Timotheus Michael Kaine , Tims Keins , Timothy Michael Kaine , 蒂姆·凯恩 , تیم کین , Тим Кейн , ティム・ケイン , 蒂姆·凱恩 , Kaine  Timothy , Τιμ Κέιν "
Adnan Terzić,,,,
Rémy Scheurer,,,,
Ulla Ihnen,,,,
